,,,,Black-Scholes price (Put Option)
MSFT,European,230,0.25,4.648873705197362e-05
MSFT,European,230,0.5,0.1907768526853646
MSFT,European,230,0.75,1.5926923814246905
MSFT,European,230,1.0,4.347388290578962
MSFT,European,250,0.25,0.016686369271459833
MSFT,European,250,0.5,1.2365588526271765
MSFT,European,250,0.75,4.511411807539147
MSFT,European,250,1.0,8.88299470326799
MSFT,European,270,0.25,0.6943442038870522
MSFT,European,270,0.5,4.768016547419165
MSFT,European,270,0.75,10.09624643281424
MSFT,European,270,1.0,15.800269198901816
MSFT,European,290,0.25,6.163554710744592
MSFT,European,290,0.5,12.533179371691006
MSFT,European,290,0.75,18.893623553819566
MSFT,European,290,1.0,25.239369350295533
MSFT,European,310,0.25,20.268282214260154
MSFT,European,310,0.5,25.000206457508142
MSFT,European,310,0.75,30.874082638834977
MSFT,European,310,1.0,37.073979045944384
MSFT,European,330,0.25,39.04472112084471
MSFT,European,330,0.5,41.12810310430194
MSFT,European,330,0.75,45.54282093248861
MSFT,European,330,1.0,50.99261254444832
MSFT,European,350,0.25,58.685578482186884
MSFT,European,350,0.5,59.37593166171689
MSFT,European,350,0.75,62.202673217640864
MSFT,European,350,1.0,66.59880567654909
AMZN,European,230,0.25,123.11672400239519
AMZN,European,230,0.5,123.11672400239716
AMZN,European,230,0.75,123.11673037301907
AMZN,European,230,1.0,123.1184914428448
AMZN,European,250,0.25,142.7364393187974
AMZN,European,250,0.5,142.7364393187974
AMZN,European,250,0.75,142.73643979090224
AMZN,European,250,1.0,142.73682813294897
AMZN,European,270,0.25,162.35615463519963
AMZN,European,270,0.5,162.35615463519963
AMZN,European,270,0.75,162.35615466995796
AMZN,European,270,1.0,162.3562405005266
AMZN,European,290,0.25,181.97586995160185
AMZN,European,290,0.5,181.97586995160185
AMZN,European,290,0.75,181.9758699541797
AMZN,European,290,1.0,181.97588910577548
AMZN,European,310,0.25,201.59558526800413
AMZN,European,310,0.5,201.59558526800413
AMZN,European,310,0.75,201.59558526819865
AMZN,European,310,1.0,201.59558960242296
AMZN,European,330,0.25,221.21530058440635
AMZN,European,330,0.5,221.21530058440635
AMZN,European,330,0.75,221.21530058442136
AMZN,European,330,1.0,221.2153015822891
AMZN,European,350,0.25,240.83501590080857
AMZN,European,350,0.5,240.83501590080857
AMZN,European,350,0.75,240.83501590080976
AMZN,European,350,1.0,240.8350161349869
GOOG,European,230,0.25,116.2026700652321
GOOG,European,230,0.5,116.20267006535839
GOOG,European,230,0.75,116.20271466620623
GOOG,European,230,1.0,116.20834238594247
GOOG,European,250,0.25,135.82551086085863
GOOG,European,250,0.5,135.82551086085925
GOOG,European,250,0.75,135.82551482355422
GOOG,European,250,1.0,135.82688792805394
GOOG,European,270,0.25,155.4483516564851
GOOG,European,270,0.5,155.4483516564851
GOOG,European,270,0.75,155.4483520019648
GOOG,European,270,1.0,155.44868511409237
GOOG,European,290,0.25,175.07119245211163
GOOG,European,290,0.5,175.07119245211163
GOOG,European,290,0.75,175.07119248212223
GOOG,European,290,1.0,175.0712735495486
GOOG,European,310,0.25,194.6940332477381
GOOG,European,310,0.5,194.6940332477381
GOOG,European,310,0.75,194.69403325036404
GOOG,European,310,1.0,194.69405315314873
GOOG,European,330,0.25,214.31687404336463
GOOG,European,330,0.5,214.31687404336463
GOOG,European,330,0.75,214.31687404359792
GOOG,European,330,1.0,214.3168789912898
GOOG,European,350,0.25,233.9397148389911
GOOG,European,350,0.5,233.9397148389911
GOOG,European,350,0.75,233.93971483901225
GOOG,European,350,1.0,233.93971608752784
