,,,,Difference between Black-Scholes and CRR at large N (1000)
MSFT,European,230,0.25,-0.9904752870241629
MSFT,European,230,0.5,-3.080237784320403
MSFT,European,230,0.75,-3.882088608136023
MSFT,European,230,1.0,-3.0848515395894154
MSFT,European,250,0.25,-3.3411143446011042
MSFT,European,250,0.5,-5.922198031626932
MSFT,European,250,0.75,-5.650294835263409
MSFT,European,250,1.0,-3.7134030573822336
MSFT,European,270,0.25,-7.775631207431587
MSFT,European,270,0.5,-8.646286317753356
MSFT,European,270,0.75,-6.799360407472278
MSFT,European,270,1.0,-3.772300238667082
MSFT,European,290,0.25,-10.970286808015725
MSFT,European,290,0.5,-9.71824423583233
MSFT,European,290,0.75,-6.855237870978986
MSFT,European,290,1.0,-3.1559078151732685
MSFT,European,310,0.25,-9.102010595172338
MSFT,European,310,0.5,-8.622094846683574
MSFT,European,310,0.75,-5.771354528383156
MSFT,European,310,1.0,-1.8839535215714989
MSFT,European,330,0.25,-5.50471638854377
MSFT,European,330,0.5,-6.0919109561242095
MSFT,European,330,0.75,-3.843502452179351
MSFT,European,330,1.0,-0.12196129236542674
MSFT,European,350,0.25,-3.104753921932385
MSFT,European,350,0.5,-3.223245758253263
MSFT,European,350,0.75,-1.481156002045715
MSFT,European,350,1.0,1.9461640256055404
AMZN,European,230,0.25,-1.516274063623129
AMZN,European,230,0.5,1.2823459094107221
AMZN,European,230,0.75,3.920151903305296
AMZN,European,230,1.0,6.331571169812847
AMZN,European,250,0.25,-1.6480224413918734
AMZN,European,250,0.5,1.4109366403445733
AMZN,European,250,0.75,4.364596617742734
AMZN,European,250,1.0,7.144673475255843
AMZN,European,270,0.25,-1.7798511412727294
AMZN,European,270,0.5,1.5296623202227124
AMZN,European,270,0.75,4.763195232213974
AMZN,European,270,1.0,7.8642577404259555
AMZN,European,290,0.25,-1.9116902881678755
AMZN,European,290,0.5,1.6450024062652346
AMZN,European,290,0.75,5.139474058936514
AMZN,European,290,1.0,8.53021840141156
AMZN,European,310,0.25,-2.0435307794085134
AMZN,European,310,0.5,1.7591592504632274
AMZN,European,310,0.75,5.505359190566821
AMZN,European,310,1.0,9.166070276063493
AMZN,European,330,0.25,-2.1753714464954044
AMZN,European,330,0.5,1.8729040048973502
AMZN,European,330,0.75,5.866135129107192
AMZN,European,330,1.0,9.785033355000877
AMZN,European,350,0.25,-2.3072121363989027
AMZN,European,350,0.5,1.9865015865333646
AMZN,European,350,0.75,6.224424712930414
AMZN,European,350,1.0,10.393959567679047
GOOG,European,230,0.25,-1.4806557931031392
GOOG,European,230,0.5,1.2918627694756992
GOOG,European,230,0.75,3.8328939310079306
GOOG,European,230,1.0,6.095880081458603
GOOG,European,250,0.25,-1.6090026462406684
GOOG,European,250,0.5,1.4399214309312924
GOOG,European,250,0.75,4.3393137220488995
GOOG,European,250,1.0,7.015972960365161
GOOG,European,270,0.25,-1.7376642371968671
GOOG,European,270,0.5,1.5680809880953461
GOOG,European,270,0.75,4.771727260895005
GOOG,European,270,1.0,7.803025200319524
GOOG,European,290,0.25,-1.8663718746041695
GOOG,European,290,0.5,1.6888792268863426
GOOG,European,290,0.75,5.167292695273176
GOOG,European,290,1.0,8.512101713155602
GOOG,European,310,0.25,-1.995086005260248
GOOG,European,310,0.5,1.8070557065015862
GOOG,European,310,0.75,5.54467993266266
GOOG,European,310,1.0,9.175694294859369
GOOG,European,330,0.25,-2.1238010620103296
GOOG,European,330,0.5,1.9242622644044332
GOOG,European,330,0.75,5.912894586931429
GOOG,European,330,1.0,9.812521022248347
GOOG,European,350,0.25,-2.2525162533818843
GOOG,European,350,0.5,2.0411155312486926
GOOG,European,350,0.75,6.276548410838529
GOOG,European,350,1.0,10.433708559028787
